Date,Year,Month,Day,Weekday,High,Low,Average,Close
12/30/2019,2019,12,30,1,3240.919922,3216.570068,3228.744995,3221.290039
12/31/2019,2019,12,31,2,3231.719971,3212.030029,3221.875,3230.780029
1/2/2020,2020,1,2,4,3258.139893,3235.530029,3246.834961,3257.850098
1/3/2020,2020,1,3,5,3246.149902,3222.340088,3234.244995,3234.850098
1/6/2020,2020,1,6,1,3246.840088,3214.639893,3230.739991,3246.280029
1/7/2020,2020,1,7,2,3244.909912,3232.429932,3238.669922,3237.179932
1/8/2020,2020,1,8,3,3267.070068,3236.669922,3251.869995,3253.050049
1/9/2020,2020,1,9,4,3275.580078,3263.669922,3269.625,3274.699951
1/10/2020,2020,1,10,5,3282.98999,3260.860107,3271.925049,3265.350098
1/13/2020,2020,1,13,1,3288.129883,3268.429932,3278.279908,3288.129883
1/14/2020,2020,1,14,2,3294.25,3277.189941,3285.719971,3283.149902
1/15/2020,2020,1,15,3,3298.659912,3280.689941,3289.674927,3289.290039
1/16/2020,2020,1,16,4,3317.110107,3302.820068,3309.965088,3316.810059
1/17/2020,2020,1,17,5,3329.879883,3318.860107,3324.369995,3329.620117
1/21/2020,2020,1,21,2,3329.790039,3316.610107,3323.200073,3320.790039
1/22/2020,2020,1,22,3,3337.77002,3320.040039,3328.90503,3321.75
1/23/2020,2020,1,23,4,3326.879883,3301.870117,3314.375,3325.540039
1/24/2020,2020,1,24,5,3333.179932,3281.530029,3307.354981,3295.469971
1/27/2020,2020,1,27,1,3258.850098,3234.5,3246.675049,3243.629883
1/28/2020,2020,1,28,2,3285.780029,3253.219971,3269.5,3276.23999
1/29/2020,2020,1,29,3,3293.469971,3271.889893,3282.679932,3273.399902
1/30/2020,2020,1,30,4,3285.909912,3242.800049,3264.354981,3283.659912
1/31/2020,2020,1,31,5,3282.330078,3214.679932,3248.505005,3225.52002
2/3/2020,2020,2,3,1,3268.439941,3235.659912,3252.049927,3248.919922
2/4/2020,2020,2,4,2,3306.919922,3280.610107,3293.765015,3297.590088
2/5/2020,2020,2,5,3,3337.580078,3313.75,3325.665039,3334.689941
2/6/2020,2020,2,6,4,3347.959961,3334.389893,3341.174927,3345.780029
2/7/2020,2020,2,7,5,3341.419922,3322.120117,3331.77002,3327.709961
2/10/2020,2020,2,10,1,3352.26001,3317.77002,3335.015015,3352.090088
2/11/2020,2020,2,11,2,3375.629883,3352.719971,3364.174927,3357.75
2/12/2020,2020,2,12,3,3381.469971,3369.719971,3375.594971,3379.449951
2/13/2020,2020,2,13,4,3385.090088,3360.52002,3372.805054,3373.939941
2/14/2020,2020,2,14,5,3380.689941,3366.149902,3373.419922,3380.159912
